title,url,price,rating,review_count,seller,search_term,scraped_at,is_suspicious,suspicion_reasons
Visite a loja oficial da HP,,,4.7,3019.0,Comprar HP inc.,cartucho HP 667,2025-09-23 00:18:09,False,[]
Cartucho HP 667 Preto Original (3YM79AL),,,4.7,3019.0,3.019,cartucho HP 667,2025-09-23 00:18:09,False,[]
Cartucho HP 667XL Preto Original (3YM81AL),,,4.8,2267.0,2.267,cartucho HP 667,2025-09-23 00:18:09,False,[]
Mais vendido,,,4.7,13059.0,13.059,cartucho HP 667,2025-09-23 00:18:10,False,[]
Consulte as páginas dos produtos para ver outras opções de compra.,,,,,Amazon.com.br,cartucho HP 667,2025-09-23 00:18:10,False,[]
"Cartucho Hp 667 Original 3ym79ab Preto p/Deskjet 2376, 2776, 6476, 5076, 5276",https://www.amazon.com.br/s?k=cartucho+HP+667&__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss#,63.0,4.7,,(13 mil),cartucho HP 667,2025-09-23 00:18:10,False,[]
Valuetoner Cartuchos de Tinta para 667 667XL 667 XL Compatível com DeskJet Ink Advantage 2374 1275 2375 2376 2775 2776e DeskJet Plus 6475 6476 6075 (1 Preto 1 Colorido),https://www.amazon.com.br/s?k=cartucho+HP+667&__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss#,176.0,4.4,,"(25,7 mil)",cartucho HP 667,2025-09-23 00:18:10,True,"[""Palavra-chave suspeita: 'compatível'""]"
TECKKIN Cartucho de Tinta Compatível para HP 667 667XL Compatível com HP DeskJet Ink Advantage 2374 1275 2376 2775 2776 DeskJet Plus 6475 6476 6075 (1 Preto 1 Colorido),https://www.amazon.com.br/s?k=cartucho+HP+667&__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss#,199.0,4.2,,"(7,8 mil)",cartucho HP 667,2025-09-23 00:18:10,True,"[""Palavra-chave suspeita: 'compatível'""]"
"Kit 4 Cartuchos de Tintas 667/2 unid. Preto e 2 unid. Colorido para Impressora, Conjunto de 4, combo, black, color, tricolor, preço, do mercado, bk, cl.",https://www.amazon.com.br/s?k=cartucho+HP+667&__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss#,299.0,2.9,,(2),cartucho HP 667,2025-09-23 00:18:10,False,[]
"Cartucho Hp 667 Original 3ym79ab Preto p/Deskjet 2376, 2776, 6476, 5076, 5276",https://www.amazon.com.br/Cartucho-HP-Preto-Original-3YM79AB/dp/B08WKPK952/ref=sr_1_5?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.9zzyGXgH6QMHIwa_KE7dPqjeV1q4XyoLGIJ3iKPBDXtPoX3EADNs2IaEc-Vm-f2SNXmqZIKe81-DYRVjyuhtsBsqrtS3jBUW_9-se_RGOlXr7v1R8Q020nLR-iufdQrogppdDx6WjUdpILrMm0AaKXgDBR75MYVZY4A8O7GTn7mFQGN1YX6rzhmKylo7B9QwqSOxSa6usS4NKyTdhd0Zry9tSofjcH-F8HnHgUomarLs7KA1kU8Afj5OmvS57FE7WBryLueHvFfrySXwfF9KYSGPpixZvuCNf-jqkidU92o.UroRNVrrU6-LI8qLCt_sibnUQ-ygbfCB6pqs0Y64kM0&dib_tag=se&keywords=cartucho+HP+667&qid=1758597486&sr=8-5&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9,63.0,4.7,,(13 mil),cartucho HP 667,2025-09-23 00:18:10,False,[]
Kit 2 cartucho HP 667 Preto e Colorido,https://www.amazon.com.br/Kit-cartucho-667-Preto-Colorido/dp/B08Q1YQDHJ/ref=sr_1_6?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.9zzyGXgH6QMHIwa_KE7dPqjeV1q4XyoLGIJ3iKPBDXtPoX3EADNs2IaEc-Vm-f2SNXmqZIKe81-DYRVjyuhtsBsqrtS3jBUW_9-se_RGOlXr7v1R8Q020nLR-iufdQrogppdDx6WjUdpILrMm0AaKXgDBR75MYVZY4A8O7GTn7mFQGN1YX6rzhmKylo7B9QwqSOxSa6usS4NKyTdhd0Zry9tSofjcH-F8HnHgUomarLs7KA1kU8Afj5OmvS57FE7WBryLueHvFfrySXwfF9KYSGPpixZvuCNf-jqkidU92o.UroRNVrrU6-LI8qLCt_sibnUQ-ygbfCB6pqs0Y64kM0&dib_tag=se&keywords=cartucho+HP+667&qid=1758597486&sr=8-6&ufe=app_do%3Aamzn1.fos.6a09f7ec-d911-4889-ad70-de8dd83c8a74,144.0,4.7,,"(1,4 mil)",cartucho HP 667,2025-09-23 00:18:10,False,[]
KIT 2 CARTUCHO DE TINTA HP 667 PRETO E COLOR ORIGINAL 3YM78L DESKJET INK ADVANTAGE 2776,https://www.amazon.com.br/CARTUCHO-HP-ORIGINAL-DESKJET-ADVANTAGE/dp/B005MYZ9A0/ref=sr_1_7?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.9zzyGXgH6QMHIwa_KE7dPqjeV1q4XyoLGIJ3iKPBDXtPoX3EADNs2IaEc-Vm-f2SNXmqZIKe81-DYRVjyuhtsBsqrtS3jBUW_9-se_RGOlXr7v1R8Q020nLR-iufdQrogppdDx6WjUdpILrMm0AaKXgDBR75MYVZY4A8O7GTn7mFQGN1YX6rzhmKylo7B9QwqSOxSa6usS4NKyTdhd0Zry9tSofjcH-F8HnHgUomarLs7KA1kU8Afj5OmvS57FE7WBryLueHvFfrySXwfF9KYSGPpixZvuCNf-jqkidU92o.UroRNVrrU6-LI8qLCt_sibnUQ-ygbfCB6pqs0Y64kM0&dib_tag=se&keywords=cartucho+HP+667&qid=1758597486&sr=8-7&ufe=app_do%3Aamzn1.fos.6a09f7ec-d911-4889-ad70-de8dd83c8a74,135.0,4.7,,(393),cartucho HP 667,2025-09-23 00:18:10,False,[]
