asin,title,url,price,rating,review_count,seller,scraped_at,seller_detailed,price_detailed,description,specifications,availability,shipping_info,ai_prediction,ai_confidence,ai_probabilities,risk_score,risk_level,analysis_timestamp
B08WKPK952,"Cartucho Hp 667 Original 3ym79ab Preto p/Deskjet 2376, 2776, 6476, 5076, 5276",https://www.amazon.com.br/Cartucho-HP-Preto-Original-3YM79AB/dp/B08WKPK952/ref=sr_1_1?dib=eyJ2IjoiMSJ9.loMaamKR8TKSm71GzFAoC-JSj6x_Iu0DNTkmrN7nd2LhZjyhm6ZiioMhYSV-Hqc4fpqrbcf5zfpdflr8Vy_3LRrlrq36jgCHCktsml8YUt9vH4gHzS8fJlo27qSSQG35chLColu9gH_bs7QwMu1aCIYI4SaOg4UFyxeUqlYG02dffgwbCIEnpK4tyUCTD2YLlVYVIlYqmrvWxKpjqgG6PtwzxwtFCEVwWEJT3Abtp61GtdI6ydKeA0OKPRkua7ZjjyHuMUig3r5j0srQLI9pPhdOT0Jh5urlgGlFmCBL0zU._65RHrVqCWp5Gxw3MumT4hAsGBTk9RPWdc82c-c2J_Y&dib_tag=se&keywords=cartucho+HP+667&qid=1761870389&sr=8-1,62.0,4.7,,Amazon.com.br,2025-10-30 21:26:35,Amazon.com.br,62.0,"[COMPATIBILIDADE] HP DeskJet Plus Ink Advantage 6000 series, HP DeskJet Plus Ink Advantage 6400 series, HP Deskjet Ink Advantage 1200 Printer, HP Deskjet Ink Advantage 2300 All-in-One, HP DeskJet Ink Advantage 2700 All-in-One Printer, HP DeskJet Ink Advantage 4100 All-in-One Printer
[RENDIMENTO] Até 120 páginas
[ORIGINAL] Projetados para confiabilidade e consistência assim que saem da caixa
[QUALIDADE] Reduza as reimpressões, economizando papel, tinta e energia
[MEIO AMBIENTE] Os cartuchos HP originais são feitos com até 50% de material reciclado",{},Em estoque,à vista no Pix,ORIGINAL,0.57,"[0.36, 0.57, 0.07]",1,BAIXO,2025-10-30T21:44:25.979715
B08WKRYQHN,"Cartucho Hp 667 Colorido Original (3ym78al) Para Hp Deskjet 2376, 2774, 2776, 6476",https://www.amazon.com.br/Cartucho-HP-Colorido-Original-3YM79AB/dp/B08WKRYQHN/ref=sr_1_2?dib=eyJ2IjoiMSJ9.loMaamKR8TKSm71GzFAoC-JSj6x_Iu0DNTkmrN7nd2LhZjyhm6ZiioMhYSV-Hqc4fpqrbcf5zfpdflr8Vy_3LRrlrq36jgCHCktsml8YUt9vH4gHzS8fJlo27qSSQG35chLColu9gH_bs7QwMu1aCIYI4SaOg4UFyxeUqlYG02dffgwbCIEnpK4tyUCTD2YLlVYVIlYqmrvWxKpjqgG6PtwzxwtFCEVwWEJT3Abtp61GtdI6ydKeA0OKPRkua7ZjjyHuMUig3r5j0srQLI9pPhdOT0Jh5urlgGlFmCBL0zU._65RHrVqCWp5Gxw3MumT4hAsGBTk9RPWdc82c-c2J_Y&dib_tag=se&keywords=cartucho+HP+667&qid=1761870389&sr=8-2,62.0,4.7,,Amazon.com.br,2025-10-30 21:26:35,Amazon.com.br,62.0,"[COMPATIBILIDADE] HP DeskJet Plus Ink Advantage 6000 series, HP DeskJet Plus Ink Advantage 6400 series, HP Deskjet Ink Advantage 1200 Printer, HP Deskjet Ink Advantage 2300 All-in-One, HP DeskJet Ink Advantage 2700 All-in-One Printer, HP DeskJet Ink Advantage 4100 All-in-One Printe
[RENDIMENTO] Até 100 páginas
[ORIGINAL] Projetados para confiabilidade e consistência assim que saem da caixa
[QUALIDADE] Reduza as reimpressões, economizando papel, tinta e energia
[MEIO AMBIENTE] Os cartuchos HP originais são feitos com até 50% de material reciclado",{},Em estoque,à vista no Pix,ORIGINAL,0.57,"[0.36, 0.57, 0.07]",1,BAIXO,2025-10-30T21:44:25.979715
B08WKMBDN9,"Cartucho HP 667XL Preto Original (3YM81AB) Para HP Deskjet 2376, 2776, 6476, 5076, 5276",https://www.amazon.com.br/Cartucho-HP-667XL-Original-3YM81AB/dp/B08WKMBDN9/ref=sr_1_3?dib=eyJ2IjoiMSJ9.loMaamKR8TKSm71GzFAoC-JSj6x_Iu0DNTkmrN7nd2LhZjyhm6ZiioMhYSV-Hqc4fpqrbcf5zfpdflr8Vy_3LRrlrq36jgCHCktsml8YUt9vH4gHzS8fJlo27qSSQG35chLColu9gH_bs7QwMu1aCIYI4SaOg4UFyxeUqlYG02dffgwbCIEnpK4tyUCTD2YLlVYVIlYqmrvWxKpjqgG6PtwzxwtFCEVwWEJT3Abtp61GtdI6ydKeA0OKPRkua7ZjjyHuMUig3r5j0srQLI9pPhdOT0Jh5urlgGlFmCBL0zU._65RHrVqCWp5Gxw3MumT4hAsGBTk9RPWdc82c-c2J_Y&dib_tag=se&keywords=cartucho+HP+667&qid=1761870389&sr=8-3&ufe=app_do%3Aamzn1.fos.6a09f7ec-d911-4889-ad70-de8dd83c8a74,129.0,4.7,,Amazon.com.br,2025-10-30 21:26:35,Amazon.com.br,129.0,"[COMPATIBILIDADE] HP DeskJet Plus Ink Advantage 6000 series, HP DeskJet Plus Ink Advantage 6400 series, HP Deskjet Ink Advantage 1200 Printer, HP Deskjet Ink Advantage 2300 All-in-One, HP DeskJet Ink Advantage 2700 All-in-One Printer, HP DeskJet Ink Advantage 4100 All-in-One Printer
[RENDIMENTO] 480 Páginas
[ORIGINAL] Projetados para confiabilidade e consistência assim que saem da caixa
[QUALIDADE] Reduza as reimpressões, economizando papel, tinta e energia
[MEIO AMBIENTE] Os cartuchos HP originais são feitos com até 50% de material reciclado",{},Em estoque,à vista no Pix,ORIGINAL,0.61,"[0.31, 0.61, 0.08]",1,BAIXO,2025-10-30T21:44:25.979715
B08Q1YQDHJ,Kit 2 cartucho HP 667 Preto e Colorido,https://www.amazon.com.br/Kit-cartucho-667-Preto-Colorido/dp/B08Q1YQDHJ/ref=sr_1_4?dib=eyJ2IjoiMSJ9.loMaamKR8TKSm71GzFAoC-JSj6x_Iu0DNTkmrN7nd2LhZjyhm6ZiioMhYSV-Hqc4fpqrbcf5zfpdflr8Vy_3LRrlrq36jgCHCktsml8YUt9vH4gHzS8fJlo27qSSQG35chLColu9gH_bs7QwMu1aCIYI4SaOg4UFyxeUqlYG02dffgwbCIEnpK4tyUCTD2YLlVYVIlYqmrvWxKpjqgG6PtwzxwtFCEVwWEJT3Abtp61GtdI6ydKeA0OKPRkua7ZjjyHuMUig3r5j0srQLI9pPhdOT0Jh5urlgGlFmCBL0zU._65RHrVqCWp5Gxw3MumT4hAsGBTk9RPWdc82c-c2J_Y&dib_tag=se&keywords=cartucho+HP+667&qid=1761870389&sr=8-4&ufe=app_do%3Aamzn1.fos.6a09f7ec-d911-4889-ad70-de8dd83c8a74,145.0,4.7,,Amazon.com.br,2025-10-30 21:26:36,Amazon.com.br,145.0,"Contém 2 cartuchos HP 667: um preto e um colorido
Compatível com impressoras HP que utilizam cartuchos da série 667",{},Em estoque,,COMPATIVEL,0.53,"[0.53, 0.2, 0.27]",2,MÉDIO,2025-10-30T21:44:25.979715
B00I3FMUZ2,"Cartucho de Tinta HP, 667 3Ym78AL Color 29290",https://www.amazon.com.br/Cartucho-Tinta-HP-3Ym78AL-Color/dp/B00I3FMUZ2/ref=sr_1_5?dib=eyJ2IjoiMSJ9.loMaamKR8TKSm71GzFAoC-JSj6x_Iu0DNTkmrN7nd2LhZjyhm6ZiioMhYSV-Hqc4fpqrbcf5zfpdflr8Vy_3LRrlrq36jgCHCktsml8YUt9vH4gHzS8fJlo27qSSQG35chLColu9gH_bs7QwMu1aCIYI4SaOg4UFyxeUqlYG02dffgwbCIEnpK4tyUCTD2YLlVYVIlYqmrvWxKpjqgG6PtwzxwtFCEVwWEJT3Abtp61GtdI6ydKeA0OKPRkua7ZjjyHuMUig3r5j0srQLI9pPhdOT0Jh5urlgGlFmCBL0zU._65RHrVqCWp5Gxw3MumT4hAsGBTk9RPWdc82c-c2J_Y&dib_tag=se&keywords=cartucho+HP+667&qid=1761870389&sr=8-5&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9,65.0,4.8,,GIGAJET INF,2025-10-30 21:26:36,GIGAJET INF,65.0,"Perfeito para quem impirme as vezes
2x mais impressões com tintas HP
Com tintas originais HP Textos mais Nitidos
Cores mais vivas
Impressões que não desbotam com o tempo.",{},Em estoque,"+R$ 32,40 de envio",COMPATIVEL,0.41,"[0.41, 0.39, 0.2]",2,MÉDIO,2025-10-30T21:44:25.979715
B005MYZ9A0,KIT 2 CARTUCHO DE TINTA HP 667 PRETO E COLOR ORIGINAL 3YM78L DESKJET INK ADVANTAGE 2776,https://www.amazon.com.br/CARTUCHO-HP-ORIGINAL-DESKJET-ADVANTAGE/dp/B005MYZ9A0/ref=sr_1_6?dib=eyJ2IjoiMSJ9.loMaamKR8TKSm71GzFAoC-JSj6x_Iu0DNTkmrN7nd2LhZjyhm6ZiioMhYSV-Hqc4fpqrbcf5zfpdflr8Vy_3LRrlrq36jgCHCktsml8YUt9vH4gHzS8fJlo27qSSQG35chLColu9gH_bs7QwMu1aCIYI4SaOg4UFyxeUqlYG02dffgwbCIEnpK4tyUCTD2YLlVYVIlYqmrvWxKpjqgG6PtwzxwtFCEVwWEJT3Abtp61GtdI6ydKeA0OKPRkua7ZjjyHuMUig3r5j0srQLI9pPhdOT0Jh5urlgGlFmCBL0zU._65RHrVqCWp5Gxw3MumT4hAsGBTk9RPWdc82c-c2J_Y&dib_tag=se&keywords=cartucho+HP+667&qid=1761870389&sr=8-6,64.0,4.7,,Amazon.com.br,2025-10-30 21:26:36,Amazon.com.br,64.0,"Impressões resistentes à água e ao desbotamento, garantindo documentos e fotos duráveis por mais de 5 as
Kit com 2 cartuchos originais HP 667: 1 preto (3YM79AL) e 1 colorido (3YM78AL), ambos com 2ml de tinta
Compatível com impressoras HP Deskjet Ink Advantage 2376, 2776 e 6476, oferecendo qualidade superior em textos e imagens",{},,Marca,ORIGINAL,0.58,"[0.25, 0.58, 0.17]",1,BAIXO,2025-10-30T21:44:25.979715
B08C1XPJGP,Cartucho HP 667XL Preto Original (3YM81AL),https://www.amazon.com.br/Cartucho-HP-667XL-Original-3YM81AL/dp/B08C1XPJGP/ref=sr_1_7?dib=eyJ2IjoiMSJ9.loMaamKR8TKSm71GzFAoC-JSj6x_Iu0DNTkmrN7nd2LhZjyhm6ZiioMhYSV-Hqc4fpqrbcf5zfpdflr8Vy_3LRrlrq36jgCHCktsml8YUt9vH4gHzS8fJlo27qSSQG35chLColu9gH_bs7QwMu1aCIYI4SaOg4UFyxeUqlYG02dffgwbCIEnpK4tyUCTD2YLlVYVIlYqmrvWxKpjqgG6PtwzxwtFCEVwWEJT3Abtp61GtdI6ydKeA0OKPRkua7ZjjyHuMUig3r5j0srQLI9pPhdOT0Jh5urlgGlFmCBL0zU._65RHrVqCWp5Gxw3MumT4hAsGBTk9RPWdc82c-c2J_Y&dib_tag=se&keywords=cartucho+HP+667&qid=1761870389&sr=8-7&ufe=app_do%3Aamzn1.fos.6a09f7ec-d911-4889-ad70-de8dd83c8a74,149.0,4.8,,GIGAJET INF,2025-10-30 21:26:36,GIGAJET INF,149.0,"Cartucho HP 667XL Preto Original (3YM81AL)
Até 480 páginas
Imprima texto nítido e cores intensas com os cartuchos de tinta originais HP projetados para oferecer impressões de qualidade em casa, na escola e em pequenas empresas. Com cartuchos muito baratos, obtenha tinta HP original por um preço acessível. Imprima os documentos e as fotos de alta qualidade que você precisa por um ótimo valor. Com cartuchos com preço muito acessível, obtenha tinta HP original por um preço acessível, além de resultados confiáveis e consistentes de cartuchos projetados com a impressora HP. Conte com os cartuchos de tinta originais HP para obter desempenho de impressão. Ajude a garantir impressões nítidas e intensas em casa, na escola e no trabalho com cartuchos desenvolvidos e testados com a impressora HP e projetados para facilitar o uso. Cartuchos originais HP que se encaixam na maneira como você vive, trabalha e imprime. Conte com resultados consistentes de alta qualidade e com a facilidade para repetir o pedido que você espera da HP em casa ou em qualquer lugar. Impressões que funcionam todas as vezes. Cartuchos projetados para alto rendimento. Impressões resistentes à água e que não desbotam com o tempo Cores mais vibrantes e nítidas. Com Tecnologia anti curvas Fotos e documentos que duram mais de 50 anos sem perder a cor e a qualidade. Resultados superiores da primeira à última página, sem obstruções ou impressões com bandas. Impressão sustentável, os cartuchos HP originais são feitos com até 50% de material reciclado.
HP Deskjet Ink Advantage 2376, HP Deskjet Ink Advantage 2776, HP Deskjet Ink Advantage 6476",{},Em estoque,"+R$ 32,49 de envio",ORIGINAL,0.9,"[0.08, 0.9, 0.02]",0,BAIXO,2025-10-30T21:44:25.979715
B08C1VQ76Y,Cartucho HP 667 Preto Original (3YM79AL),https://www.amazon.com.br/Cartucho-HP-Preto-Original-3YM79AL/dp/B08C1VQ76Y/ref=sr_1_8?dib=eyJ2IjoiMSJ9.loMaamKR8TKSm71GzFAoC-JSj6x_Iu0DNTkmrN7nd2LhZjyhm6ZiioMhYSV-Hqc4fpqrbcf5zfpdflr8Vy_3LRrlrq36jgCHCktsml8YUt9vH4gHzS8fJlo27qSSQG35chLColu9gH_bs7QwMu1aCIYI4SaOg4UFyxeUqlYG02dffgwbCIEnpK4tyUCTD2YLlVYVIlYqmrvWxKpjqgG6PtwzxwtFCEVwWEJT3Abtp61GtdI6ydKeA0OKPRkua7ZjjyHuMUig3r5j0srQLI9pPhdOT0Jh5urlgGlFmCBL0zU._65RHrVqCWp5Gxw3MumT4hAsGBTk9RPWdc82c-c2J_Y&dib_tag=se&keywords=cartucho+HP+667&qid=1761870389&sr=8-8&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9,89.0,4.7,,GIGAJET INF,2025-10-30 21:26:36,GIGAJET INF,89.0,"Cartucho HP 667 Preto Original (3YM79AL)
Até 120 páginas
Imprima texto nítido e cores intensas com os cartuchos de tinta originais HP projetados para oferecer impressões de qualidade em casa, na escola e em pequenas empresas. Com cartuchos muito baratos, obtenha tinta HP original por um preço acessível. Imprima os documentos e as fotos de alta qualidade que você precisa por um ótimo valor. Com cartuchos com preço muito acessível, obtenha tinta HP original por um preço acessível, além de resultados confiáveis e consistentes de cartuchos projetados com a impressora HP. Conte com os cartuchos de tinta originais HP para obter desempenho de impressão. Ajude a garantir impressões nítidas e intensas em casa, na escola e no trabalho com cartuchos desenvolvidos e testados com a impressora HP e projetados para facilitar o uso. Cartuchos originais HP que se encaixam na maneira como você vive, trabalha e imprime. Conte com resultados consistentes de alta qualidade e com a facilidade para repetir o pedido que você espera da HP em casa ou em qualquer lugar. Impressões que funcionam todas as vezes. Cartuchos projetados para alto rendimento. Impressões resistentes à água e que não desbotam com o tempo Cores mais vibrantes e nítidas. Com Tecnologia anti curvas Fotos e documentos que duram mais de 50 anos sem perder a cor e a qualidade. Resultados superiores da primeira à última página, sem obstruções ou impressões com bandas. Impressão sustentável, os cartuchos HP originais são feitos com até 50% de material reciclado.
HP Deskjet Ink Advantage 2376, HP Deskjet Ink Advantage 2776, HP Deskjet Ink Advantage 6476",{},Em estoque,,ORIGINAL,0.9,"[0.08, 0.9, 0.02]",0,BAIXO,2025-10-30T21:44:25.979715
B08C28F87W,Cartucho HP - 667XL Colorido Original (3YM80AL),https://www.amazon.com.br/Cartucho-HP-Colorido-Original-3YM80AL/dp/B08C28F87W/ref=sr_1_9?dib=eyJ2IjoiMSJ9.loMaamKR8TKSm71GzFAoC-JSj6x_Iu0DNTkmrN7nd2LhZjyhm6ZiioMhYSV-Hqc4fpqrbcf5zfpdflr8Vy_3LRrlrq36jgCHCktsml8YUt9vH4gHzS8fJlo27qSSQG35chLColu9gH_bs7QwMu1aCIYI4SaOg4UFyxeUqlYG02dffgwbCIEnpK4tyUCTD2YLlVYVIlYqmrvWxKpjqgG6PtwzxwtFCEVwWEJT3Abtp61GtdI6ydKeA0OKPRkua7ZjjyHuMUig3r5j0srQLI9pPhdOT0Jh5urlgGlFmCBL0zU._65RHrVqCWp5Gxw3MumT4hAsGBTk9RPWdc82c-c2J_Y&dib_tag=se&keywords=cartucho+HP+667&qid=1761870389&sr=8-9&ufe=app_do%3Aamzn1.fos.6a09f7ec-d911-4889-ad70-de8dd83c8a74,149.0,4.8,,GIGAJET INF,2025-10-30 21:26:36,GIGAJET INF,149.0,"Cartucho HP 667XL Colorido Original (3YM80AL)
Até 300 páginas
Obtenha a qualidade da HP que você conhece e confia. Imprima documentos todos os dias com texto e imagens nítidas e os custos de impressão acessíveis com os cartuchos originais HP Imprima bordas perfeitas em textos e em gráficos, usando Cartuchos Originais HP. Qualidade impressionante de texto e imagens para desfrutar de documentos e fotos Média baseada em ISO / IEC 24711 ou na metodologia de teste HP e impressão contínua. O desempenho real varia consideravelmente com base no conteúdo das páginas impressas e outros fatores. Impressões que funcionam todas as vezes. Cartuchos projetados para alto rendimento. Impressões resistentes à água e que não desbotam com o tempo Cores mais vibrantes e nítidas. Com Tecnologia anti curvas Fotos e documentos que duram mais de 50 anos sem perder a cor e a qualidade. Resultados superiores da primeira à última página, sem obstruções ou impressões com bandas. Impressão sustentável, os cartuchos HP originais são feitos com até 50% de material reciclado.
HP Deskjet Ink Advantage 2376, HP Deskjet Ink Advantage 2776, HP Deskjet Ink Advantage 6476",{},Em estoque,"+R$ 32,49 de envio",ORIGINAL,0.91,"[0.02, 0.91, 0.07]",0,BAIXO,2025-10-30T21:44:25.979715
B0DLZRTVVV,TECKKIN Cartucho de Tinta para HP 667 667XL Compatíveis com HP DeskJet Ink Advantage 2374 1275 2376 2775 2776 DeskJet Plus 6475 6476 6075 (1 preto),https://www.amazon.com.br/TECKKIN-667xl-cartuchos-compat%C3%ADveis-Advantage/dp/B0DLZRTVVV/ref=sr_1_10?dib=eyJ2IjoiMSJ9.loMaamKR8TKSm71GzFAoC-JSj6x_Iu0DNTkmrN7nd2LhZjyhm6ZiioMhYSV-Hqc4fpqrbcf5zfpdflr8Vy_3LRrlrq36jgCHCktsml8YUt9vH4gHzS8fJlo27qSSQG35chLColu9gH_bs7QwMu1aCIYI4SaOg4UFyxeUqlYG02dffgwbCIEnpK4tyUCTD2YLlVYVIlYqmrvWxKpjqgG6PtwzxwtFCEVwWEJT3Abtp61GtdI6ydKeA0OKPRkua7ZjjyHuMUig3r5j0srQLI9pPhdOT0Jh5urlgGlFmCBL0zU._65RHrVqCWp5Gxw3MumT4hAsGBTk9RPWdc82c-c2J_Y&dib_tag=se&keywords=cartucho+HP+667&qid=1761870389&sr=8-10&ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d,116.0,4.4,,RUA Oriente's shop,2025-10-30 21:26:36,RUA Oriente's shop,116.0,"Conteúdo do pacote: 1 pacotes de substituição remanufaturados de cartucho de tinta para HP 667 667XL (1 Preto)
Compatível com impressora: TECKKIN cartucho de tinta para HP 667 667XL compatível com HP deskjet ink advantage 2775 2776 2374 1275 2375 2376 impressora; Compatível com HP deskjet ink advantage plus 6075 6475 6476 impressora
Alto desempenho de páginas: TECKKIN cartucho preto compatíveis com HP 667 XL imprimem até 700 páginas (5% de cobertura em papel A4)
Com o chip mais recente: este cartucho de tinta compatível com HP 667 667XL é equipado com o chip mais recente e atualizado para garantir a compatibilidade perfeita com a sua impressora e excelente qualidade de impressão, para que você possa desfrutar de uma impressão eficiente e sem complicações.
Qualidade de impressão superior: nossa tinta de cartude compatível para HP 667 667XL fornece excelentes resultados de impressão. Cores vibrantes de longa duração e texto claro. Dá-lhe uma experiência diferente.",{},Em estoque,Cor:,ORIGINAL,0.37,"[0.32, 0.37, 0.31]",1,BAIXO,2025-10-30T21:44:25.979715
